FIPS,County,State,Region,pop2020,MMR_diff_cat,MMR_diff_three,MMR_post_logodds,NME,Election2020,Dom_Party,Area_Type,MMR_pre_covid,MMR_post_covid,BR_2022_03_03,case_rate_6_30_22,death_rate_6_30_22,black_pct,hispanic_pct,higher_edu,med_hhincome_Rel,median_age,SVI,RDI,republican,pct_Rural,ageunder5pct,age5to9pct,hospital_pharmacy_count_per_1000,flu_pre,flu_post,nme_pre,nme_post
1001,Autauga,Alabama,South,58805,increase,pos,2.342046984,1,R,Republican,Urban,0.8866,0.9123,13.7822406,27990.81711,369.0162401,19.463,3.6,57.3,1.261917283,38.2,0.4354,0.514,71.4368023,42,5.8,6.9,0.187058924,41.7,42,1,1
1003,Baldwin,Alabama,South,231767,stable,neg,2.522439256,1,R,Republican,Urban,0.9291,0.9257,17.13762241,25278.28133,294.6925145,7.86,5.474,63.3,1.297412973,43,0.2162,0.597,76.17137282,42.3,5.5,5.7,0.241621974,45.3,47,1,1
1005,Barbour,Alabama,South,25223,increase,pos,2.861302669,1,R,Republican,Rural,0.9256,0.9459,14.2631451,23214.07332,392.4989097,47.31,5.987,39,0.779518289,40.4,0.9959,0.458,53.45122647,67.8,5.3,6.4,0.396463545,37.3,40,1,1
1007,Bibb,Alabama,South,22293,stable,neg,2.340797764,1,R,Republican,Rural,0.9598,0.9122,11.47182281,29963.92205,470.9998654,19.795,3.319,35.8,1.038389786,40.9,0.6003,0.444,78.42626368,68.4,5.8,5.4,0.31399991,37,34,1,1
1009,Blount,Alabama,South,59134,stable,neg,3.47609869,1,R,Republican,Rural,0.9762,0.97,10.0854287,25904.60407,414.5548367,1.429,9.759,47.7,1.146393765,40.7,0.4242,0.449,89.57155285,90,5.9,6.2,0.186018196,39.7,42,1,1
1011,Bullock,Alabama,South,10357,increase,pos,3.511030638,1,R,Democrat,Rural,0.9174,0.971,15.49351549,23394.80545,521.3865019,71.411,4.857,33.5,0.691407498,40.2,0.8898,0.353,24.84283546,51.4,5.3,6.2,0.386212224,28.3,32,1,1
1013,Butler,Alabama,South,19051,stable,neg,2.677735281,1,R,Republican,Rural,0.9813,0.9357,12.18120115,27412.13435,677.1298095,44.25,1.365,39.9,0.865592086,40.8,0.8653,0.437,57.52529511,71.2,5.8,6.5,0.36743478,32.7,34,1,1
1015,Calhoun,Alabama,South,116441,stable,neg,2.771208313,1,R,Republican,Urban,0.9612,0.9411,16.04770917,28458.4345,543.6229507,21.95,4.303,50.6,1.034684192,39.6,0.8252,0.521,68.84843968,33.7,5.8,5.8,0.29199337,39,39,1,1
1017,Chambers,Alabama,South,34772,stable,neg,2.605270332,1,R,Republican,Rural,0.975,0.9312,10.98213749,25190.62957,466.3029367,38.859,3.557,45.4,0.910470947,42,0.7382,0.447,57.26903952,49.1,6.1,5.3,0.316346486,42.7,44,1,1
1019,Cherokee,Alabama,South,24971,increase,pos,3.521738258,1,R,Republican,Rural,0.9632,0.9713,11.24980913,20977.47673,344.3995034,3.953,1.602,43.7,0.996436394,46.5,0.4516,0.429,86.0336558,85.7,4.6,5.6,0.320371631,46.7,47,1,1
1021,Chilton,Alabama,South,45014,stable,pos,2.572945942,1,R,Republican,Rural,0.9286,0.9291,11.25641487,25130.27693,462.0784645,9.035,9.815,38.5,1.076832615,38.7,0.7602,0.429,83.29880891,86.7,6.3,7.3,0.177722486,42,41,1,1
1023,Choctaw,Alabama,South,12665,stable,neg,2.120711615,1,R,Republican,Rural,0.8966,0.8929,22.94066248,16534.88241,292.1437031,41.311,0.892,46.6,0.862644947,46.3,0.8748,0.32,57.5562701,100,5.3,4.9,0.31583103,33.7,34,1,1
1025,Clarke,Alabama,South,23087,stable,neg,2.651445057,1,R,Republican,Rural,0.9715,0.9341,17.37786809,31553.31696,437.4756356,44.419,0.892,41.1,0.949628891,42.5,0.8471,0.32,55.75942139,76,5.7,5.5,0.606401871,28.7,30,1,1
